StateCode,StateName,TypeOfDisability,TypeOfRegion,Sex,TotalWork,Nonworkers
0,INDIA,InMovement, Urban ,Males,416793,450179
0,INDIA,InMovement, Urban ,Females,82833,451280
0,INDIA,MentalRetardation, Total ,Persons,322285,1183679
0,INDIA,MentalRetardation, Total ,Males,232298,638600
0,INDIA,MentalRetardation, Total ,Females,89987,545079
0,INDIA,MentalRetardation, Rural ,Persons,245121,780779
0,INDIA,MentalRetardation, Rural ,Males,171341,420257
0,INDIA,MentalRetardation, Rural ,Females,73780,360522
0,INDIA,MentalRetardation, Urban ,Persons,77164,402900
0,INDIA,MentalRetardation, Urban ,Males,60957,218343
0,INDIA,MentalRetardation, Urban ,Females,16207,184557
0,INDIA,MentalIllness, Total ,Persons,154534,568346
0,INDIA,MentalIllness, Total ,Males,111873,303885
0,INDIA,MentalIllness, Total ,Females,42661,264461
0,INDIA,MentalIllness, Rural ,Persons,121732,374148
0,INDIA,MentalIllness, Rural ,Males,85522,197936
0,INDIA,MentalIllness, Rural ,Females,36210,176212
0,INDIA,MentalIllness, Urban ,Persons,32802,194198
0,INDIA,MentalIllness, Urban ,Males,26351,105949
0,INDIA,MentalIllness, Urban ,Females,6451,88249
0,INDIA,AnyOther, Total ,Persons,2046986,2880603
0,INDIA,AnyOther, Total ,Males,1456713,1271412
0,INDIA,AnyOther, Total ,Females,590273,1609191
0,INDIA,AnyOther, Rural ,Persons,1433820,1859287
0,INDIA,AnyOther, Rural ,Males,983945,843936
0,INDIA,AnyOther, Rural ,Females,449875,1015351
0,INDIA,AnyOther, Urban ,Persons,613166,1021316
0,INDIA,AnyOther, Urban ,Males,472768,427476
0,INDIA,AnyOther, Urban ,Females,140398,593840
0,INDIA,MultipleDisability, Total ,Persons,392470,1724228
0,INDIA,MultipleDisability, Total ,Males,280510,882202
0,INDIA,MultipleDisability, Total ,Females,111960,842026
0,INDIA,MultipleDisability, Rural ,Persons,305476,1279028
0,INDIA,MultipleDisability, Rural ,Males,211812,651409
0,INDIA,MultipleDisability, Rural ,Females,93664,627619
0,INDIA,MultipleDisability, Urban ,Persons,86994,445200
0,INDIA,MultipleDisability, Urban ,Males,68698,230793
0,INDIA,MultipleDisability, Urban ,Females,18296,214407
1,State - JAMMU & KASHMIR (01),TotalDisabledPopulation, Total ,Persons,121532,239621
1,State - JAMMU & KASHMIR (01),TotalDisabledPopulation, Total ,Males,93948,110886
1,State - JAMMU & KASHMIR (01),TotalDisabledPopulation, Total ,Females,27584,128735
1,State - JAMMU & KASHMIR (01),TotalDisabledPopulation, Rural ,Persons,91369,182583
1,State - JAMMU & KASHMIR (01),TotalDisabledPopulation, Rural ,Males,69322,85570
1,State - JAMMU & KASHMIR (01),TotalDisabledPopulation, Rural ,Females,22047,97013
1,State - JAMMU & KASHMIR (01),TotalDisabledPopulation, Urban ,Persons,30163,57038
1,State - JAMMU & KASHMIR (01),TotalDisabledPopulation, Urban ,Males,24626,25316
1,State - JAMMU & KASHMIR (01),TotalDisabledPopulation, Urban ,Females,5537,31722
1,State - JAMMU & KASHMIR (01),InSeeing, Total ,Persons,22281,44167
1,State - JAMMU & KASHMIR (01),InSeeing, Total ,Males,16860,18796
1,State - JAMMU & KASHMIR (01),InSeeing, Total ,Females,5421,25371
1,State - JAMMU & KASHMIR (01),InSeeing, Rural ,Persons,16856,33286
1,State - JAMMU & KASHMIR (01),InSeeing, Rural ,Males,12607,14412
1,State - JAMMU & KASHMIR (01),InSeeing, Rural ,Females,4249,18874
1,State - JAMMU & KASHMIR (01),InSeeing, Urban ,Persons,5425,10881
1,State - JAMMU & KASHMIR (01),InSeeing, Urban ,Males,4253,4384
1,State - JAMMU & KASHMIR (01),InSeeing, Urban ,Females,1172,6497
1,State - JAMMU & KASHMIR (01),InHearing, Total ,Persons,29855,44241
1,State - JAMMU & KASHMIR (01),InHearing, Total ,Males,23815,18929
1,State - JAMMU & KASHMIR (01),InHearing, Total ,Females,6040,25312
1,State - JAMMU & KASHMIR (01),InHearing, Rural ,Persons,19947,31942
1,State - JAMMU & KASHMIR (01),InHearing, Rural ,Males,15261,13940
1,State - JAMMU & KASHMIR (01),InHearing, Rural ,Females,4686,18002
1,State - JAMMU & KASHMIR (01),InHearing, Urban ,Persons,9908,12299
1,State - JAMMU & KASHMIR (01),InHearing, Urban ,Males,8554,4989
1,State - JAMMU & KASHMIR (01),InHearing, Urban ,Females,1354,7310
1,State - JAMMU & KASHMIR (01),InSpeech, Total ,Persons,6548,12133
1,State - JAMMU & KASHMIR (01),InSpeech, Total ,Males,5253,6098
1,State - JAMMU & KASHMIR (01),InSpeech, Total ,Females,1295,6035
1,State - JAMMU & KASHMIR (01),InSpeech, Rural ,Persons,5278,9594
1,State - JAMMU & KASHMIR (01),InSpeech, Rural ,Males,4188,4908
1,State - JAMMU & KASHMIR (01),InSpeech, Rural ,Females,1090,4686
1,State - JAMMU & KASHMIR (01),InSpeech, Urban ,Persons,1270,2539
1,State - JAMMU & KASHMIR (01),InSpeech, Urban ,Males,1065,1190
1,State - JAMMU & KASHMIR (01),InSpeech, Urban ,Females,205,1349
1,State - JAMMU & KASHMIR (01),InMovement, Total ,Persons,19323,38814
1,State - JAMMU & KASHMIR (01),InMovement, Total ,Males,15600,19545
1,State - JAMMU & KASHMIR (01),InMovement, Total ,Females,3723,19269
1,State - JAMMU & KASHMIR (01),InMovement, Rural ,Persons,16183,31589
1,State - JAMMU & KASHMIR (01),InMovement, Rural ,Males,12989,15989
1,State - JAMMU & KASHMIR (01),InMovement, Rural ,Females,3194,15600
1,State - JAMMU & KASHMIR (01),InMovement, Urban ,Persons,3140,7225
1,State - JAMMU & KASHMIR (01),InMovement, Urban ,Males,2611,3556
1,State - JAMMU & KASHMIR (01),InMovement, Urban ,Females,529,3669
1,State - JAMMU & KASHMIR (01),MentalRetardation, Total ,Persons,3980,12744
1,State - JAMMU & KASHMIR (01),MentalRetardation, Total ,Males,3005,6793
1,State - JAMMU & KASHMIR (01),MentalRetardation, Total ,Females,975,5951
1,State - JAMMU & KASHMIR (01),MentalRetardation, Rural ,Persons,3031,9183
1,State - JAMMU & KASHMIR (01),MentalRetardation, Rural ,Males,2240,4881
1,State - JAMMU & KASHMIR (01),MentalRetardation, Rural ,Females,791,4302
1,State - JAMMU & KASHMIR (01),MentalRetardation, Urban ,Persons,949,3561
1,State - JAMMU & KASHMIR (01),MentalRetardation, Urban ,Males,765,1912
1,State - JAMMU & KASHMIR (01),MentalRetardation, Urban ,Females,184,1649
1,State - JAMMU & KASHMIR (01),MentalIllness, Total ,Persons,4708,10961
1,State - JAMMU & KASHMIR (01),MentalIllness, Total ,Males,3378,5432
1,State - JAMMU & KASHMIR (01),MentalIllness, Total ,Females,1330,5529
1,State - JAMMU & KASHMIR (01),MentalIllness, Rural ,Persons,3626,7955
1,State - JAMMU & KASHMIR (01),MentalIllness, Rural ,Males,2592,3855
1,State - JAMMU & KASHMIR (01),MentalIllness, Rural ,Females,1034,4100
1,State - JAMMU & KASHMIR (01),MentalIllness, Urban ,Persons,1082,3006
1,State - JAMMU & KASHMIR (01),MentalIllness, Urban ,Males,786,1577
1,State - JAMMU & KASHMIR (01),MentalIllness, Urban ,Females,296,1429
1,State - JAMMU & KASHMIR (01),AnyOther, Total ,Persons,25856,41101
1,State - JAMMU & KASHMIR (01),AnyOther, Total ,Males,19285,17567
1,State - JAMMU & KASHMIR (01),AnyOther, Total ,Females,6571,23534
1,State - JAMMU & KASHMIR (01),AnyOther, Rural ,Persons,19017,30382
1,State - JAMMU & KASHMIR (01),AnyOther, Rural ,Males,13919,13150
1,State - JAMMU & KASHMIR (01),AnyOther, Rural ,Females,5098,17232
1,State - JAMMU & KASHMIR (01),AnyOther, Urban ,Persons,6839,10719
1,State - JAMMU & KASHMIR (01),AnyOther, Urban ,Males,5366,4417
1,State - JAMMU & KASHMIR (01),AnyOther, Urban ,Females,1473,6302
1,State - JAMMU & KASHMIR (01),MultipleDisability, Total ,Persons,8981,35460
1,State - JAMMU & KASHMIR (01),MultipleDisability, Total ,Males,6752,17726
1,State - JAMMU & KASHMIR (01),MultipleDisability, Total ,Females,2229,17734
1,State - JAMMU & KASHMIR (01),MultipleDisability, Rural ,Persons,7431,28652
1,State - JAMMU & KASHMIR (01),MultipleDisability, Rural ,Males,5526,14435
1,State - JAMMU & KASHMIR (01),MultipleDisability, Rural ,Females,1905,14217
1,State - JAMMU & KASHMIR (01),MultipleDisability, Urban ,Persons,1550,6808
1,State - JAMMU & KASHMIR (01),MultipleDisability, Urban ,Males,1226,3291
1,State - JAMMU & KASHMIR (01),MultipleDisability, Urban ,Females,324,3517
2,State - HIMACHAL PRADESH (02),TotalDisabledPopulation, Total ,Persons,68917,86399
2,State - HIMACHAL PRADESH (02),TotalDisabledPopulation, Total ,Males,43731,42590
2,State - HIMACHAL PRADESH (02),TotalDisabledPopulation, Total ,Females,25186,43809
2,State - HIMACHAL PRADESH (02),TotalDisabledPopulation, Rural ,Persons,64506,78159
2,State - HIMACHAL PRADESH (02),TotalDisabledPopulation, Rural ,Males,40197,38766
2,State - HIMACHAL PRADESH (02),TotalDisabledPopulation, Rural ,Females,24309,39393
2,State - HIMACHAL PRADESH (02),TotalDisabledPopulation, Urban ,Persons,4411,8240
2,State - HIMACHAL PRADESH (02),TotalDisabledPopulation, Urban ,Males,3534,3824
2,State - HIMACHAL PRADESH (02),TotalDisabledPopulation, Urban ,Females,877,4416
2,State - HIMACHAL PRADESH (02),InSeeing, Total ,Persons,12060,14016
2,State - HIMACHAL PRADESH (02),InSeeing, Total ,Males,7296,6086
2,State - HIMACHAL PRADESH (02),InSeeing, Total ,Females,4764,7930
2,State - HIMACHAL PRADESH (02),InSeeing, Rural ,Persons,11336,12804
2,State - HIMACHAL PRADESH (02),InSeeing, Rural ,Males,6741,5550
2,State - HIMACHAL PRADESH (02),InSeeing, Rural ,Females,4595,7254
2,State - HIMACHAL PRADESH (02),InSeeing, Urban ,Persons,724,1212
2,State - HIMACHAL PRADESH (02),InSeeing, Urban ,Males,555,536
2,State - HIMACHAL PRADESH (02),InSeeing, Urban ,Females,169,676
2,State - HIMACHAL PRADESH (02),InHearing, Total ,Persons,13649,13051
2,State - HIMACHAL PRADESH (02),InHearing, Total ,Males,8575,5668
2,State - HIMACHAL PRADESH (02),InHearing, Total ,Females,5074,7383
2,State - HIMACHAL PRADESH (02),InHearing, Rural ,Persons,12523,11416
2,State - HIMACHAL PRADESH (02),InHearing, Rural ,Males,7630,5023
2,State - HIMACHAL PRADESH (02),InHearing, Rural ,Females,4893,6393
2,State - HIMACHAL PRADESH (02),InHearing, Urban ,Persons,1126,1635
2,State - HIMACHAL PRADESH (02),InHearing, Urban ,Males,945,645
2,State - HIMACHAL PRADESH (02),InHearing, Urban ,Females,181,990
2,State - HIMACHAL PRADESH (02),InSpeech, Total ,Persons,3976,4302
2,State - HIMACHAL PRADESH (02),InSpeech, Total ,Males,2581,2298
2,State - HIMACHAL PRADESH (02),InSpeech, Total ,Females,1395,2004
2,State - HIMACHAL PRADESH (02),InSpeech, Rural ,Persons,3747,3801
2,State - HIMACHAL PRADESH (02),InSpeech, Rural ,Males,2388,2075
2,State - HIMACHAL PRADESH (02),InSpeech, Rural ,Females,1359,1726
2,State - HIMACHAL PRADESH (02),InSpeech, Urban ,Persons,229,501
2,State - HIMACHAL PRADESH (02),InSpeech, Urban ,Males,193,223
2,State - HIMACHAL PRADESH (02),InSpeech, Urban ,Females,36,278
2,State - HIMACHAL PRADESH (02),InMovement, Total ,Persons,14535,18015
2,State - HIMACHAL PRADESH (02),InMovement, Total ,Males,10056,9391
2,State - HIMACHAL PRADESH (02),InMovement, Total ,Females,4479,8624
2,State - HIMACHAL PRADESH (02),InMovement, Rural ,Persons,13709,16718
2,State - HIMACHAL PRADESH (02),InMovement, Rural ,Males,9375,8765
2,State - HIMACHAL PRADESH (02),InMovement, Rural ,Females,4334,7953
2,State - HIMACHAL PRADESH (02),InMovement, Urban ,Persons,826,1297
2,State - HIMACHAL PRADESH (02),InMovement, Urban ,Males,681,626
2,State - HIMACHAL PRADESH (02),InMovement, Urban ,Females,145,671
2,State - HIMACHAL PRADESH (02),MentalRetardation, Total ,Persons,2833,6153
2,State - HIMACHAL PRADESH (02),MentalRetardation, Total ,Males,1809,3501
2,State - HIMACHAL PRADESH (02),MentalRetardation, Total ,Females,1024,2652
2,State - HIMACHAL PRADESH (02),MentalRetardation, Rural ,Persons,2671,5456
2,State - HIMACHAL PRADESH (02),MentalRetardation, Rural ,Males,1681,3128
2,State - HIMACHAL PRADESH (02),MentalRetardation, Rural ,Females,990,2328
2,State - HIMACHAL PRADESH (02),MentalRetardation, Urban ,Persons,162,697
2,State - HIMACHAL PRADESH (02),MentalRetardation, Urban ,Males,128,373
2,State - HIMACHAL PRADESH (02),MentalRetardation, Urban ,Females,34,324
2,State - HIMACHAL PRADESH (02),MentalIllness, Total ,Persons,1594,3572
2,State - HIMACHAL PRADESH (02),MentalIllness, Total ,Males,1009,2021
2,State - HIMACHAL PRADESH (02),MentalIllness, Total ,Females,585,1551
2,State - HIMACHAL PRADESH (02),MentalIllness, Rural ,Persons,1537,3227
2,State - HIMACHAL PRADESH (02),MentalIllness, Rural ,Males,961,1808
2,State - HIMACHAL PRADESH (02),MentalIllness, Rural ,Females,576,1419
2,State - HIMACHAL PRADESH (02),MentalIllness, Urban ,Persons,57,345
2,State - HIMACHAL PRADESH (02),MentalIllness, Urban ,Males,48,213
2,State - HIMACHAL PRADESH (02),MentalIllness, Urban ,Females,9,132
2,State - HIMACHAL PRADESH (02),AnyOther, Total ,Persons,16074,12950
2,State - HIMACHAL PRADESH (02),AnyOther, Total ,Males,9806,6158
2,State - HIMACHAL PRADESH (02),AnyOther, Total ,Females,6268,6792
2,State - HIMACHAL PRADESH (02),AnyOther, Rural ,Persons,14943,11309
2,State - HIMACHAL PRADESH (02),AnyOther, Rural ,Males,8950,5480
2,State - HIMACHAL PRADESH (02),AnyOther, Rural ,Females,5993,5829
2,State - HIMACHAL PRADESH (02),AnyOther, Urban ,Persons,1131,1641
2,State - HIMACHAL PRADESH (02),AnyOther, Urban ,Males,856,678
2,State - HIMACHAL PRADESH (02),AnyOther, Urban ,Females,275,963
2,State - HIMACHAL PRADESH (02),MultipleDisability, Total ,Persons,4196,14340
2,State - HIMACHAL PRADESH (02),MultipleDisability, Total ,Males,2599,7467
2,State - HIMACHAL PRADESH (02),MultipleDisability, Total ,Females,1597,6873
2,State - HIMACHAL PRADESH (02),MultipleDisability, Rural ,Persons,4040,13428
2,State - HIMACHAL PRADESH (02),MultipleDisability, Rural ,Males,2471,6937
2,State - HIMACHAL PRADESH (02),MultipleDisability, Rural ,Females,1569,6491
2,State - HIMACHAL PRADESH (02),MultipleDisability, Urban ,Persons,156,912
2,State - HIMACHAL PRADESH (02),MultipleDisability, Urban ,Males,128,530
2,State - HIMACHAL PRADESH (02),MultipleDisability, Urban ,Females,28,382
3,State - PUNJAB (03),TotalDisabledPopulation, Total ,Persons,216320,437743
3,State - PUNJAB (03),TotalDisabledPopulation, Total ,Males,176623,202928
3,State - PUNJAB (03),TotalDisabledPopulation, Total ,Females,39697,234815
3,State - PUNJAB (03),TotalDisabledPopulation, Rural ,Persons,140392,289921
3,State - PUNJAB (03),TotalDisabledPopulation, Rural ,Males,114768,136521
3,State - PUNJAB (03),TotalDisabledPopulation, Rural ,Females,25624,153400
3,State - PUNJAB (03),TotalDisabledPopulation, Urban ,Persons,75928,147822
3,State - PUNJAB (03),TotalDisabledPopulation, Urban ,Males,61855,66407
3,State - PUNJAB (03),TotalDisabledPopulation, Urban ,Females,14073,81415
3,State - PUNJAB (03),InSeeing, Total ,Persons,26511,55688
3,State - PUNJAB (03),InSeeing, Total ,Males,21361,23450
3,State - PUNJAB (03),InSeeing, Total ,Females,5150,32238
3,State - PUNJAB (03),InSeeing, Rural ,Persons,17157,38008
3,State - PUNJAB (03),InSeeing, Rural ,Males,13710,16129
3,State - PUNJAB (03),InSeeing, Rural ,Females,3447,21879
3,State - PUNJAB (03),InSeeing, Urban ,Persons,9354,17680
3,State - PUNJAB (03),InSeeing, Urban ,Males,7651,7321
3,State - PUNJAB (03),InSeeing, Urban ,Females,1703,10359
3,State - PUNJAB (03),InHearing, Total ,Persons,54120,92576
3,State - PUNJAB (03),InHearing, Total ,Males,42650,36111
3,State - PUNJAB (03),InHearing, Total ,Females,11470,56465
3,State - PUNJAB (03),InHearing, Rural ,Persons,30164,53571
3,State - PUNJAB (03),InHearing, Rural ,Males,23660,21122
3,State - PUNJAB (03),InHearing, Rural ,Females,6504,32449
3,State - PUNJAB (03),InHearing, Urban ,Persons,23956,39005
3,State - PUNJAB (03),InHearing, Urban ,Males,18990,14989
3,State - PUNJAB (03),InHearing, Urban ,Females,4966,24016
3,State - PUNJAB (03),InSpeech, Total ,Persons,7259,17290
3,State - PUNJAB (03),InSpeech, Total ,Males,6042,8255
3,State - PUNJAB (03),InSpeech, Total ,Females,1217,9035
3,State - PUNJAB (03),InSpeech, Rural ,Persons,4557,11461
3,State - PUNJAB (03),InSpeech, Rural ,Males,3778,5518
3,State - PUNJAB (03),InSpeech, Rural ,Females,779,5943
3,State - PUNJAB (03),InSpeech, Urban ,Persons,2702,5829
3,State - PUNJAB (03),InSpeech, Urban ,Males,2264,2737
3,State - PUNJAB (03),InSpeech, Urban ,Females,438,3092
3,State - PUNJAB (03),InMovement, Total ,Persons,46758,83286
3,State - PUNJAB (03),InMovement, Total ,Males,39736,41798
3,State - PUNJAB (03),InMovement, Total ,Females,7022,41488
3,State - PUNJAB (03),InMovement, Rural ,Persons,33933,60843
3,State - PUNJAB (03),InMovement, Rural ,Males,28882,30921
3,State - PUNJAB (03),InMovement, Rural ,Females,5051,29922
3,State - PUNJAB (03),InMovement, Urban ,Persons,12825,22443
3,State - PUNJAB (03),InMovement, Urban ,Males,10854,10877
3,State - PUNJAB (03),InMovement, Urban ,Females,1971,11566
3,State - PUNJAB (03),MentalRetardation, Total ,Persons,7490,37580
3,State - PUNJAB (03),MentalRetardation, Total ,Males,6233,21099
3,State - PUNJAB (03),MentalRetardation, Total ,Females,1257,16481
3,State - PUNJAB (03),MentalRetardation, Rural ,Persons,4935,25008
3,State - PUNJAB (03),MentalRetardation, Rural ,Males,4099,14117
3,State - PUNJAB (03),MentalRetardation, Rural ,Females,836,10891
3,State - PUNJAB (03),MentalRetardation, Urban ,Persons,2555,12572
3,State - PUNJAB (03),MentalRetardation, Urban ,Males,2134,6982
3,State - PUNJAB (03),MentalRetardation, Urban ,Females,421,5590
3,State - PUNJAB (03),MentalIllness, Total ,Persons,3568,18357
3,State - PUNJAB (03),MentalIllness, Total ,Males,3013,10568
3,State - PUNJAB (03),MentalIllness, Total ,Females,555,7789
3,State - PUNJAB (03),MentalIllness, Rural ,Persons,2558,12592
3,State - PUNJAB (03),MentalIllness, Rural ,Males,2137,7227
3,State - PUNJAB (03),MentalIllness, Rural ,Females,421,5365
3,State - PUNJAB (03),MentalIllness, Urban ,Persons,1010,5765
3,State - PUNJAB (03),MentalIllness, Urban ,Males,876,3341
3,State - PUNJAB (03),MentalIllness, Urban ,Females,134,2424
3,State - PUNJAB (03),AnyOther, Total ,Persons,65468,100139
3,State - PUNJAB (03),AnyOther, Total ,Males,53314,43011
3,State - PUNJAB (03),AnyOther, Total ,Females,12154,57128
3,State - PUNJAB (03),AnyOther, Rural ,Persons,43725,65182
3,State - PUNJAB (03),AnyOther, Rural ,Males,35749,28182
3,State - PUNJAB (03),AnyOther, Rural ,Females,7976,37000
3,State - PUNJAB (03),AnyOther, Urban ,Persons,21743,34957
3,State - PUNJAB (03),AnyOther, Urban ,Males,17565,14829
3,State - PUNJAB (03),AnyOther, Urban ,Females,4178,20128
3,State - PUNJAB (03),MultipleDisability, Total ,Persons,5146,32827
3,State - PUNJAB (03),MultipleDisability, Total ,Males,4274,18636
3,State - PUNJAB (03),MultipleDisability, Total ,Females,872,14191
3,State - PUNJAB (03),MultipleDisability, Rural ,Persons,3363,23256
3,State - PUNJAB (03),MultipleDisability, Rural ,Males,2753,13305
3,State - PUNJAB (03),MultipleDisability, Rural ,Females,610,9951
3,State - PUNJAB (03),MultipleDisability, Urban ,Persons,1783,9571
3,State - PUNJAB (03),MultipleDisability, Urban ,Males,1521,5331
3,State - PUNJAB (03),MultipleDisability, Urban ,Females,262,4240
4,State - CHANDIGARH (04),TotalDisabledPopulation, Total ,Persons,4641,10155
4,State - CHANDIGARH (04),TotalDisabledPopulation, Total ,Males,3885,4858
4,State - CHANDIGARH (04),TotalDisabledPopulation, Total ,Females,756,5297
4,State - CHANDIGARH (04),TotalDisabledPopulation, Rural ,Persons,126,220
4,State - CHANDIGARH (04),TotalDisabledPopulation, Rural ,Males,110,102
4,State - CHANDIGARH (04),TotalDisabledPopulation, Rural ,Females,16,118
4,State - CHANDIGARH (04),TotalDisabledPopulation, Urban ,Persons,4515,9935
4,State - CHANDIGARH (04),TotalDisabledPopulation, Urban ,Males,3775,4756
4,State - CHANDIGARH (04),TotalDisabledPopulation, Urban ,Females,740,5179
4,State - CHANDIGARH (04),InSeeing, Total ,Persons,608,1166
4,State - CHANDIGARH (04),InSeeing, Total ,Males,514,564
4,State - CHANDIGARH (04),InSeeing, Total ,Females,94,602
4,State - CHANDIGARH (04),InSeeing, Rural ,Persons,9,22
4,State - CHANDIGARH (04),InSeeing, Rural ,Males,7,7
4,State - CHANDIGARH (04),InSeeing, Rural ,Females,2,15
4,State - CHANDIGARH (04),InSeeing, Urban ,Persons,599,1144
4,State - CHANDIGARH (04),InSeeing, Urban ,Males,507,557
4,State - CHANDIGARH (04),InSeeing, Urban ,Females,92,587
4,State - CHANDIGARH (04),InHearing, Total ,Persons,875,1600
4,State - CHANDIGARH (04),InHearing, Total ,Males,720,548
4,State - CHANDIGARH (04),InHearing, Total ,Females,155,1052
4,State - CHANDIGARH (04),InHearing, Rural ,Persons,17,15
4,State - CHANDIGARH (04),InHearing, Rural ,Males,15,10
4,State - CHANDIGARH (04),InHearing, Rural ,Females,2,5
4,State - CHANDIGARH (04),InHearing, Urban ,Persons,858,1585
4,State - CHANDIGARH (04),InHearing, Urban ,Males,705,538
4,State - CHANDIGARH (04),InHearing, Urban ,Females,153,1047
4,State - CHANDIGARH (04),InSpeech, Total ,Persons,332,629
4,State - CHANDIGARH (04),InSpeech, Total ,Males,274,288
4,State - CHANDIGARH (04),InSpeech, Total ,Females,58,341
4,State - CHANDIGARH (04),InSpeech, Rural ,Persons,21,28
4,State - CHANDIGARH (04),InSpeech, Rural ,Males,19,7
4,State - CHANDIGARH (04),InSpeech, Rural ,Females,2,21
4,State - CHANDIGARH (04),InSpeech, Urban ,Persons,311,601
4,State - CHANDIGARH (04),InSpeech, Urban ,Males,255,281
4,State - CHANDIGARH (04),InSpeech, Urban ,Females,56,320
4,State - CHANDIGARH (04),InMovement, Total ,Persons,1507,2308
4,State - CHANDIGARH (04),InMovement, Total ,Males,1270,1108
4,State - CHANDIGARH (04),InMovement, Total ,Females,237,1200
4,State - CHANDIGARH (04),InMovement, Rural ,Persons,58,71
4,State - CHANDIGARH (04),InMovement, Rural ,Males,50,35
4,State - CHANDIGARH (04),InMovement, Rural ,Females,8,36
4,State - CHANDIGARH (04),InMovement, Urban ,Persons,1449,2237
4,State - CHANDIGARH (04),InMovement, Urban ,Males,1220,1073
4,State - CHANDIGARH (04),InMovement, Urban ,Females,229,1164
4,State - CHANDIGARH (04),MentalRetardation, Total ,Persons,102,988
4,State - CHANDIGARH (04),MentalRetardation, Total ,Males,82,601
4,State - CHANDIGARH (04),MentalRetardation, Total ,Females,20,387
4,State - CHANDIGARH (04),MentalRetardation, Rural ,Persons,1,15
4,State - CHANDIGARH (04),MentalRetardation, Rural ,Males,0,6
4,State - CHANDIGARH (04),MentalRetardation, Rural ,Females,1,9
4,State - CHANDIGARH (04),MentalRetardation, Urban ,Persons,101,973
4,State - CHANDIGARH (04),MentalRetardation, Urban ,Males,82,595
4,State - CHANDIGARH (04),MentalRetardation, Urban ,Females,19,378
4,State - CHANDIGARH (04),MentalIllness, Total ,Persons,115,641
4,State - CHANDIGARH (04),MentalIllness, Total ,Males,99,346
4,State - CHANDIGARH (04),MentalIllness, Total ,Females,16,295
4,State - CHANDIGARH (04),MentalIllness, Rural ,Persons,4,16
4,State - CHANDIGARH (04),MentalIllness, Rural ,Males,4,7
4,State - CHANDIGARH (04),MentalIllness, Rural ,Females,0,9
4,State - CHANDIGARH (04),MentalIllness, Urban ,Persons,111,625
4,State - CHANDIGARH (04),MentalIllness, Urban ,Males,95,339
4,State - CHANDIGARH (04),MentalIllness, Urban ,Females,16,286
4,State - CHANDIGARH (04),AnyOther, Total ,Persons,902,1681
4,State - CHANDIGARH (04),AnyOther, Total ,Males,760,794
4,State - CHANDIGARH (04),AnyOther, Total ,Females,142,887
4,State - CHANDIGARH (04),AnyOther, Rural ,Persons,14,26
4,State - CHANDIGARH (04),AnyOther, Rural ,Males,13,15
4,State - CHANDIGARH (04),AnyOther, Rural ,Females,1,11
4,State - CHANDIGARH (04),AnyOther, Urban ,Persons,888,1655
